,Person
613,"इन्दुबाला सिन्हा
"
614,"अजीत वाडेकर
"
615,"योगेन्द्र कुमार सिंह
"
616,"शकुन्तला सिन्हा
"
617,"अरुन गोयल
"
618,"ज़ुल्फ़िकार अली भुट्टो
"
619,"सानिया मिर्ज़ा
"
620,"सुभाष चन्द्र बोस
"
621,"ध्रुव चन्द्र दास
"
622,"मार्गरेट थैचर
"
623,"विजय नारायण सिंह
"
624,"नित्यदेव प्रसाद
"
625,"अल्लू रामालिंगाइह
"
626,"ममूटी
"
627,"अंशुमन गायकवाड़
"
628,"मार्गरेट थैचर
"
629,"जावेद जाफ़री
"
630,"पट्टाभी सितारमैय्या
"
631,"करिश्मा कपूर
"
632,"नवजोत सिंह सिद्धू
"
633,"केशव त्रिपाठी
"
634,"नमिता भट्टाचार्या
"
635,"सनत जयसूर्या
"
636,"ए.आर.रहमान
"
637,"नागेन्द्र नारायण
"
638,"पट्टाभी सितारमैय्या
"
639,"राम नारायण लाल
"
640,"त्रिभुवन प्रसाद सिंह
"
641,"आदिनाथ झा
"
642,"साहिबज़ादा फ़ारुक अली
"
643,"सनत जयसूर्या
"
644,"सादत अली
"
645,"भागवत प्रसाद सिंह
"
646,"जंग बहादुर साहु
"
647,"कैलाश प्रसाद
"
648,"पंडित शिव कुमार शर्मा
"
649,"सत्यवान ओझा
"
650,"ए.एल. कालीचरण
"
651,"मुश्ताक अहमद
"
652,"हरधनहल्ली डी.  देवगौड़ा
"
653,"राम लखन सिंह
"
654,"चन्द्रेश्वर शर्मा
"
655,"गुरदास मान
"
656,"जॉनी लीवर
"
657,"रघुवंश राय
"
658,"ज़िया उल-हक
"
659,"जयमंगल शर्मा
"
660,"जियाउलहक
"
661,"रजनीकांत
"
662,"सीता राम येचुरी
"
663,"के. करुणानिधि
"
664,"ज्ञानदेव सहाय
"
665,"बिशन सिंह बेदी
"
666,"शत्रुघ्न सिन्हा
"
667,"सलीम मलिक
"
668,"ज़िया उल-हक
"
669,"कादर खान
"
670,"ठाकुर रामनरेश सिंह
"
671,"मथुरा चौधरी
"
672,"देवनन्दन शर्मा
"
673,"रणवीर कपूर
"
674,"कृष्ण चन्द्र सिन्हा
"
675,"जैकी श्रॉफ़
"
676,"बलविंदर संधू
"
677,"जंग बहादुर साहु
"
678,"भैरों सिंह शेखावत
"
679,"गिरीश कर्नाड
"
680,"चेतन शर्मा
"
681,"सरफ़राज नवाज़
"
682,"वेंकटपती राजू
"
683,"कोंकणा सेन शर्मा
"
684,"लाल बहादुर शास्त्री
"
685,"कमल हासन
"
686,"मधुलता श्रीवास्तव
"
687,"राम लखन सिंह
"
688,"कलानन्द झा
"
689,"जंती मोहन चंद्र बालयोगी
"
690,"सविता सिंह
"
691,"ए.पी.जे. अब्दुल कलाम
"
692,"मल्लिकार्जुन मंसूर
"
693,"अटल बिहारी वाजपेयी
"
694,"सच्चिदानन्द हीरानन्द वात्स्यायन अज्ञेय
"
695,"सत्यजीत रे
"
696,"ब्रायन लारा
"
697,"लाल बहादुर शास्त्री
"
698,"सनत जयसूर्या
"
699,"मोहम्मद अली जिन्ना
"
700,"हेलेन टिक्का
"
701,"विष्णुदेव शर्मा
"
702,"गिरीश कर्नाड
"
703,"हरभजन सिंह
"
704,"जॉर्ज डब्ल्यू बुश
"
705,"एम. एफ़ हुसैन
"
706,"सुमना अधिकारी
"
707,"ज्ञानदेव सहाय
"
708,"शत्रुघ्न सिन्हा
"
709,"साहिबज़ादा फ़ारुक अली
"
710,"सिद्दावनाली निजालिंगप्पा
"
711,"नित्यदेव प्रसाद
"
712,"सरफ़राज नवाज़
"
713,"येसुदास
"
714,"आगा मोहम्मद याह्या खान
"
715,"दलेर मेंहदी
"
716,"ध्रुव नारायण ठाकुर
"
717,"बलराम जाखड़
"
718,"अर्जुन सिंह
"
719,"कौशलेश प्रसाद सिन्हा
"
720,"पारसमणि नाथ सिंह
"
721,"नयन मोंगिया
"
722,"वसीह अहमद
"
723,"अरविंद डिसिल्वा
"
724,"सोनू निगम
"
725,"कादर खान
"
726,"एंडी फ्लावर
"
727,"अजीत वाडेकर
"
728,"विश्वभूषण कुमार वर्मा
"
729,"लीलावती नारायण
"
730,"हरिनारायण झा
"
731,"राधिका देवी
"
732,"हर्षिता जौहरी
"
733,"बेन किंग्सले
"
734,"ई कुजूर
"
735,"कपिलदेव राय
"
736,"जैकी श्रॉफ़
"
737,"रणधीर कपूर
"
738,"शिवा देवी मालवीय
"
739,"कोटा श्रीनिवास राव कोवन्डमानी
"
740,"इंज़माम-उल- हक
"
741,"निखिल चोपड़ा
"
742,"विवियन रिचर्ड्स
"
743,"कुमार गौरव
"
744,"अरविंद डिसिल्वा
"
745,"अजय  जडेजा
"
746,"सिद्दावनाली निजालिंगप्पा
"
747,"करन कपूर
"
748,"अजय देवगन
"
749,"जियाउलहक
"
750,"अमर्त्य कुमार सेन
"
751,"धर्मनाथ मिश्र
"
752,"सुनील दत्त
"
753,"सरत बाबू
"
754,"अरुन गोयल
"
755,"मोहम्मद वसीम हिदायतुल्लाह
"
756,"के.श्रीकांत
"
